PlateName	Plate	Well	drug1	concdrug1.micro_M.	drug2	concdrug2.micro_M.	GeneID
1	1	A01	STATTIC	20	STATTIC	20	STATTIC
1	1	A02	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A03	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A04	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A05	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A06	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A07	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A08	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A09	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A10	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A11	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A12	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A13	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A14	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A15	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A16	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A17	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A18	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A19	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A20	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A21	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A22	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A23	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	A24	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	B01	STATTIC	20	STATTIC	20	STATTIC
1	1	B02	Bendamustine	0	DMSO	0	Bendamustine_0_DMSO_0
1	1	B03	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
1	1	B04	Bendamustine	0.01953125	DMSO	0	Bendamustine_0.01953125_DMSO_0.01953125
1	1	B05	Bendamustine	5	DMSO	0	Bendamustine_5_DMSO_5
1	1	B06	Bendamustine	0.0390625	DMSO	0	Bendamustine_0.0390625_DMSO_0.0390625
1	1	B07	Bendamustine	2.5	DMSO	0	Bendamustine_2.5_DMSO_2.5
1	1	B08	Bendamustine	0.078125	DMSO	0	Bendamustine_0.078125_DMSO_0.078125
1	1	B09	Bendamustine	1.25	DMSO	0	Bendamustine_1.25_DMSO_1.25
1	1	B10	Bendamustine	0.15625	DMSO	0	Bendamustine_0.15625_DMSO_0.15625
1	1	B11	Bendamustine	0.625	DMSO	0	Bendamustine_0.625_DMSO_0.625
1	1	B12	Bendamustine	0.3125	DMSO	0	Bendamustine_0.3125_DMSO_0.3125
1	1	B13	Bendamustine	0.3125	DMSO	0	Bendamustine_0.3125_DMSO_0.3125
1	1	B14	Bendamustine	0.625	DMSO	0	Bendamustine_0.625_DMSO_0.625
1	1	B15	Bendamustine	0.15625	DMSO	0	Bendamustine_0.15625_DMSO_0.15625
1	1	B16	Bendamustine	1.25	DMSO	0	Bendamustine_1.25_DMSO_1.25
1	1	B17	Bendamustine	0.078125	DMSO	0	Bendamustine_0.078125_DMSO_0.078125
1	1	B18	Bendamustine	2.5	DMSO	0	Bendamustine_2.5_DMSO_2.5
1	1	B19	Bendamustine	0.0390625	DMSO	0	Bendamustine_0.0390625_DMSO_0.0390625
1	1	B20	Bendamustine	5	DMSO	0	Bendamustine_5_DMSO_5
1	1	B21	Bendamustine	0.01953125	DMSO	0	Bendamustine_0.01953125_DMSO_0.01953125
1	1	B22	Bendamustine	10	DMSO	0	Bendamustine_10_DMSO_10
1	1	B23	Bendamustine	0	DMSO	0	Bendamustine_0_DMSO_0
1	1	B24	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	C01	DMSO	0	DMSO	0	DMSO_0_DMSO_0
1	1	C02	Bendamustine	0	DMSO	0	DMSO_0_DMSO_0
1	1	C03	Bendamustine	10	WORT	10	Bendamustine_10_WORT_10
